regiao,total_emissao
East Asia & Pacific,25893.070999999996
Other High Income Countries,20542.05799999999
Europe & Central Asia,7256.431000000002
South Asia,5663.311000000001
Latin America & Caribbean,4639.918999999998
Middle East & North Africa,3015.0939999999996
Sub-Saharan Africa,2812.856
World,2281.5849999999996
